Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
1114,"-0,117","0,487","0,826","-0,085","0,036","0,987","0,043","-0,015","0,955","-0,126","0,022","1,009","-0,088","-1,051","0,369","-0,489","-0,923","-0,051","-0,003","0,050","0,978"
1115,"-0,109","0,489","0,818","-0,100","0,040","0,991","0,036","-0,025","0,943","-0,125","0,002","0,997","-0,075","-1,054","0,369","-0,493","-0,915","-0,058","-0,009","0,055","0,978"
1116,"-0,092","0,488","0,814","-0,138","0,038","0,985","0,038","-0,007","0,940","-0,102","-0,009","0,995","-0,068","-1,058","0,363","-0,497","-0,932","-0,069","-0,013","0,056","0,982"
1117,"-0,082","0,499","0,819","-0,142","0,030","0,998","0,047","-0,028","0,964","-0,100","0,011","0,996","-0,065","-1,047","0,354","-0,481","-0,933","-0,073","-0,019","0,069","0,993"
1118,"-0,079","0,500","0,823","-0,132","0,024","0,995","0,024","-0,021","0,953","-0,108","0,013","1,006","-0,077","-1,050","0,347","-0,463","-0,934","-0,094","-0,027","0,071","1,000"
1119,"-0,088","0,499","0,830","-0,117","0,024","1,005","0,022","-0,005","0,939","-0,103","0,001","1,010","-0,099","-1,051","0,343","-0,447","-0,940","-0,123","-0,024","0,075","1,002"
1120,"-0,095","0,501","0,813","-0,126","0,029","0,994","0,013","-0,031","0,948","-0,085","-0,017","0,997","-0,104","-1,050","0,345","-0,440","-0,925","-0,135","-0,024","0,081","1,003"
1121,"-0,111","0,487","0,799","-0,151","0,024","0,988","0,002","-0,027","0,946","-0,068","-0,025","0,991","-0,116","-1,056","0,352","-0,436","-0,911","-0,112","-0,031","0,077","1,007"
1122,"-0,113","0,485","0,795","-0,175","0,038","0,986","-0,015","-0,032","0,932","-0,071","-0,016","0,990","-0,111","-1,055","0,362","-0,431","-0,933","-0,089","-0,033","0,079","1,009"
1123,"-0,108","0,472","0,803","-0,181","0,060","0,986","-0,046","-0,023","0,925","-0,102","-0,004","0,996","-0,108","-1,060","0,360","-0,465","-0,957","-0,059","-0,035","0,063","0,998"
1124,"-0,114","0,475","0,809","-0,205","0,069","0,979","-0,069","-0,007","0,928","-0,140","0,008","0,993","-0,113","-1,063","0,365","-0,493","-0,960","-0,078","-0,031","0,052","0,991"
1125,"-0,120","0,488","0,823","-0,196","0,071","0,968","-0,024","-0,021","0,942","-0,170","0,012","0,995","-0,098","-1,062","0,362","-0,513","-0,939","-0,111","-0,021","0,050","0,986"
1126,"-0,122","0,484","0,852","-0,158","0,058","0,983","-0,008","-0,017","0,946","-0,179","0,018","1,017","-0,096","-1,057","0,364","-0,506","-0,926","-0,113","-0,012","0,057","0,985"
1127,"-0,112","0,484","0,854","-0,133","0,054","0,990","-0,007","-0,016","0,942","-0,185","0,032","1,013","-0,094","-1,051","0,372","-0,491","-0,928","-0,096","-0,005","0,058","0,984"
1128,"-0,098","0,493","0,842","-0,122","0,046","0,987","0,001","-0,025","0,944","-0,137","0,023","0,990","-0,080","-1,065","0,370","-0,478","-0,927","-0,061","0,005","0,057","0,985"
1129,"-0,085","0,493","0,833","-0,141","0,048","0,985","-0,022","-0,011","0,951","-0,101","0,020","0,973","-0,067","-1,059","0,369","-0,450","-0,940","-0,051","0,004","0,055","0,995"
1130,"-0,065","0,495","0,844","-0,161","0,043","0,984","-0,004","-0,025","0,949","-0,097","0,017","0,977","-0,046","-1,061","0,371","-0,428","-0,948","-0,064","0,009","0,055","0,996"
