Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
108,"0,222","0,072","-0,019","-0,021","0,088","0,121","-0,006","0,074","0,104","0,088","0,166","0,161","0,047","0,016","-0,163","0,022","0,117","0,328","-0,145","-0,001","0,020"
109,"0,038","-0,025","0,076","-0,019","0,034","0,147","-0,033","0,024","-0,020","-0,027","0,217","0,081","-0,125","-0,100","-0,258","0,130","0,007","0,198","0,038","-0,002","0,014"
110,"0,098","-0,141","0,114","-0,059","0,144","0,239","0,017","-0,052","0,150","0,109","0,375","-0,012","-0,254","-0,127","-0,187","-0,013","0,162","-0,023","-0,145","-0,001","0,020"
111,"0,036","-0,257","0,151","-0,008","0,060","0,201","-0,006","0,074","0,104","0,169","0,299","-0,054","-0,074","0,013","-0,175","-0,022","0,208","0,016","0,036","-0,075","-0,032"
112,"-0,024","-0,063","0,152","-0,017","-0,021","0,174","-0,056","-0,017","0,122","0,228","0,222","-0,096","-0,028","-0,034","-0,004","-0,022","0,208","0,016","0,038","-0,061","0,028"
113,"-0,024","0,032","0,249","0,011","-0,104","0,002","-0,109","0,023","0,177","-0,008","0,280","-0,184","0,100","0,183","-0,109","0,281","0,110","0,206","-0,021","-0,047","0,089"
114,"-0,022","0,150","0,019","-0,055","-0,237","0,012","-0,074","0,155","0,116","0,160","0,107","-0,072","0,087","0,188","0,026","0,087","0,188","0,066","0,219","0,101","-0,079"
115,"-0,021","0,189","-0,058","-0,047","-0,156","0,039","-0,095","-0,018","0,220","0,102","0,096","-0,135","-0,065","0,278","0,310","0,030","0,375","0,117","0,219","0,042","-0,065"
116,"-0,081","0,459","-0,017","0,011","-0,104","0,002","-0,092","0,159","0,298","0,220","0,104","-0,069","-0,004","0,279","0,316","0,173","0,257","-0,092","-0,023","0,058","0,002"
117,"-0,080","0,479","-0,152","0,144","-0,137","0,061","-0,044","0,074","0,202","0,165","0,239","-0,040","-0,066","0,224","0,339","0,177","0,170","0,013","0,219","0,101","-0,079"
