movement,phase,aspect_id,aspect_name,video_id,aspect_deviation
2a_2,f3,3,Knäna fortsätter böjas och rör sig framåt initialt.,059,0.2106
2a_2,f3,3,Knäna fortsätter böjas och rör sig framåt initialt.,061,0.5443
2a_2,f3,3,Knäna fortsätter böjas och rör sig framåt initialt.,074,0.7158
2a_2,f3,3,Knäna fortsätter böjas och rör sig framåt initialt.,076,0.4863
2a_2,f3,3,Knäna fortsätter böjas och rör sig framåt initialt.,091,0.5651
2a_2,f3,3,Knäna fortsätter böjas och rör sig framåt initialt.,093,0.8631
2a_2,f3,4,Knäna bibehålls riktade mot mellersta tån,028,0.0
2a_2,f3,4,Knäna bibehålls riktade mot mellersta tån,030,0.0
2a_2,f3,4,Knäna bibehålls riktade mot mellersta tån,045,0.2643
2a_2,f3,4,Knäna bibehålls riktade mot mellersta tån,047,0.7656
2a_2,f3,4,Knäna bibehålls riktade mot mellersta tån,059,0.8596
