Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
105,"-0,093","0,021","0,129","-0,161","0,017","-0,589","-0,110","0,010","-0,169","0,657","-0,073","-0,010","-0,105","-0,132","0,233","-0,253","0,057","0,025","0,705","0,090","-0,193"
106,"-0,078","0,009","0,133","-0,178","0,040","-0,589","-0,101","-0,038","-0,188","0,652","-0,101","-0,004","-0,126","-0,119","0,235","-0,279","0,115","0,030","0,670","0,069","-0,203"
107,"-0,065","-0,030","0,141","-0,139","0,046","-0,590","-0,043","-0,009","-0,206","0,647","-0,146","0,005","-0,065","-0,102","0,235","-0,259","0,153","0,036","0,712","0,066","-0,214"
108,"-0,026","-0,053","0,149","-0,136","0,077","-0,590","-0,006","0,026","-0,225","0,609","-0,086","0,013","-0,037","-0,150","0,234","-0,225","0,175","0,041","0,708","0,058","-0,222"
109,"0,003","-0,046","0,154","-0,143","0,044","-0,590","-0,019","0,039","-0,237","0,611","-0,117","0,020","-0,017","-0,131","0,235","-0,225","0,110","0,045","0,709","0,094","-0,229"
110,"0,020","-0,038","0,155","-0,149","0,076","-0,590","0,001","0,106","-0,245","0,642","-0,096","0,028","-0,042","-0,190","0,240","-0,236","0,108","0,050","0,696","0,086","-0,243"
111,"-0,025","-0,033","0,156","-0,174","0,072","-0,590","-0,010","0,164","-0,254","0,621","-0,046","0,039","-0,040","-0,169","0,243","-0,279","0,073","0,054","0,737","0,038","-0,257"
112,"-0,012","-0,032","0,157","-0,198","0,075","-0,589","-0,037","0,190","-0,260","0,660","-0,075","0,046","-0,039","-0,159","0,243","-0,300","0,042","0,057","0,790","0,025","-0,264"
113,"-0,027","-0,049","0,153","-0,217","0,062","-0,589","0,007","0,221","-0,259","0,663","-0,084","0,053","-0,039","-0,165","0,240","-0,349","0,014","0,061","0,834","0,029","-0,268"
114,"-0,078","-0,014","0,151","-0,209","0,031","-0,591","0,018","0,203","-0,255","0,658","-0,088","0,055","-0,021","-0,107","0,236","-0,375","-0,023","0,064","0,811","0,021","-0,270"
115,"-0,090","0,007","0,148","-0,169","0,011","-0,594","-0,008","0,236","-0,248","0,639","-0,097","0,057","0,017","-0,052","0,239","-0,310","-0,068","0,066","0,820","0,016","-0,277"
116,"-0,069","-0,014","0,146","-0,152","-0,021","-0,597","-0,047","0,292","-0,238","0,589","-0,112","0,057","0,033","0,015","0,242","-0,261","-0,114","0,066","0,783","-0,034","-0,285"
117,"-0,104","-0,012","0,142","-0,149","-0,053","-0,602","-0,036","0,259","-0,227","0,622","-0,135","0,057","0,046","0,076","0,245","-0,275","-0,120","0,068","0,794","-0,029","-0,293"
118,"-0,102","-0,007","0,139","-0,161","-0,075","-0,607","-0,095","0,246","-0,215","0,658","-0,149","0,055","0,055","0,116","0,243","-0,261","-0,126","0,069","0,822","-0,012","-0,295"
119,"-0,094","-0,031","0,140","-0,125","-0,100","-0,616","-0,113","0,233","-0,205","0,594","-0,115","0,054","0,116","0,144","0,235","-0,191","-0,151","0,073","0,816","-0,039","-0,295"
